KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
52322048,0,,,18,8,10,0,0,0,18,8,10,3,1,2,18,8,10,18,8,10,15,7,8,3,0,3,1,0,1,0,0,0,0,0,0,9,9,3,3,3,0,0,0,0,6,5,1,0,9,0,3,3
52322049,2,52322038,,4,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52322052,0,,,20,10,10,3,0,3,17,10,7,11,7,4,16,9,7,16,9,7,6,3,3,4,3,1,2,1,1,0,0,0,0,0,0,8,8,1,4,1,2,0,0,0,7,7,0,0,3,0,0,3
52322053,0,,,91,43,48,5,2,3,86,41,45,50,27,23,83,39,44,80,38,42,36,14,22,23,9,14,9,2,7,1,0,1,1,1,0,42,42,16,12,7,5,2,0,0,26,20,6,1,27,3,9,4
52322054,0,,,403,203,200,32,16,16,371,187,184,203,104,99,363,184,179,357,180,177,168,83,85,80,39,41,28,12,16,0,0,0,3,2,1,168,168,36,72,31,19,7,2,1,131,113,18,7,108,1,22,40
52322055,0,,,718,351,367,121,56,65,589,290,299,453,228,225,572,285,287,563,282,281,136,62,74,65,24,41,24,8,16,2,1,1,2,1,1,328,328,129,91,49,37,20,2,0,197,176,21,44,94,31,19,26
52322056,0,,,183,117,66,2,2,0,179,113,66,170,107,63,178,113,65,51,27,24,9,6,3,2,0,2,2,0,2,0,0,0,6,2,4,26,25,16,5,1,1,1,0,1,9,6,3,0,6,1,2,1
52322057,0,,,29,14,15,0,0,0,29,14,15,13,5,8,28,14,14,28,14,14,16,9,7,7,3,4,3,2,1,0,0,0,0,0,0,14,14,5,5,2,2,0,0,0,9,8,1,0,12,0,5,4
52322058,0,,,31,14,17,2,1,1,29,13,16,10,6,4,28,12,16,28,12,16,19,7,12,10,3,7,5,0,5,1,0,1,0,0,0,15,15,6,5,2,1,1,0,0,9,7,2,1,13,0,6,2
52322064,0,,,17,0,17,0,0,0,17,0,17,17,0,17,17,0,17,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,15,0,0
52322065,0,,,826,401,425,88,42,46,719,347,372,504,250,254,692,331,361,680,322,358,215,97,118,118,49,69,40,15,25,3,0,3,52,0,52,408,408,206,85,52,42,15,7,1,202,169,33,28,141,69,39,34
52322066,0,,,1343,729,614,156,86,70,1142,617,525,960,528,432,1112,599,513,1069,568,501,182,89,93,78,33,45,24,10,14,4,1,3,21,12,9,706,705,384,154,86,52,22,5,2,317,299,18,53,129,152,29,34
52322067,0,,,90,46,44,16,9,7,70,34,36,53,29,24,68,33,35,66,33,33,17,5,12,10,2,8,4,0,4,1,0,1,0,0,0,42,42,20,8,8,3,1,1,1,22,19,3,6,12,4,5,2
52322068,0,,,52,27,25,8,6,2,44,21,23,21,11,10,43,20,23,43,20,23,23,10,13,12,4,8,4,1,3,0,0,0,1,0,1,23,23,6,11,2,3,0,1,0,17,15,2,1,15,0,4,6
52322069,0,,,26,16,10,2,1,1,24,15,9,14,10,4,23,14,9,23,14,9,10,5,5,7,4,3,2,2,0,0,0,0,0,0,0,10,10,3,2,2,2,1,0,0,7,5,2,1,7,0,3,0
52322074,0,,,17,7,10,2,1,1,15,6,9,9,3,6,15,6,9,15,6,9,6,3,3,4,2,2,2,1,1,0,0,0,0,0,0,8,8,2,4,1,1,0,0,0,6,6,0,0,5,0,2,1
52322075,0,,,2330,1100,1230,234,120,114,2087,972,1115,1147,598,549,2033,938,1095,2011,925,1086,940,374,566,505,179,326,157,48,109,7,0,7,41,18,23,1138,1137,463,362,170,96,34,9,3,667,569,98,48,672,47,258,163
